RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Tenure,NumOfProducts,HasCrCard,IsActiveMember,Exited,AgeGroup,BalanceGroup,SalaryGroup
2241,15670345,Mazzi,785,Germany,Female,6,1,0,0,0,31-40,100K-150K,150K-200K
2242,15633112,Madukaego,681,Germany,Male,3,2,1,0,1,41-50,100K-150K,0-50K
2243,15714397,Trentino,621,Germany,Female,2,2,1,1,0,18-30,100K-150K,150K-200K
2244,15780038,Paterson,756,Spain,Male,6,1,1,0,1,31-40,100K-150K,150K-200K
2245,15756305,Marchesi,515,France,Female,6,2,1,1,0,60+,0-50K,150K-200K
2246,15578799,Anayolisa,625,France,Female,10,1,1,1,1,51-60,50K-100K,150K-200K
2247,15800326,Poole,717,Spain,Female,6,2,1,0,0,31-40,0-50K,50K-100K
2248,15785485,Zhou,595,Germany,Female,2,1,0,1,0,41-50,100K-150K,100K-150K
2249,15783958,Bates,539,Spain,Female,1,2,0,0,0,31-40,100K-150K,0-50K
2250,15727546,Olejuru,762,France,Male,9,2,1,1,0,31-40,0-50K,0-50K
2251,15739576,Bustard,706,Spain,Male,8,2,1,1,0,18-30,0-50K,0-50K
2252,15631333,Wade,677,Spain,Female,8,1,1,0,0,18-30,100K-150K,0-50K
2253,15604782,Tan,733,Germany,Female,7,1,0,1,0,31-40,150K-200K,150K-200K
2254,15589643,Ngozichukwuka,684,Spain,Female,7,1,1,1,0,41-50,0-50K,100K-150K
2255,15585533,Calabrese,679,France,Male,6,1,0,1,0,31-40,100K-150K,150K-200K
2256,15681506,Lane,478,Spain,Male,1,2,1,1,0,41-50,0-50K,150K-200K
2257,15630551,Forbes,696,France,Male,2,1,1,1,0,31-40,150K-200K,0-50K
2258,15698349,Davy,686,Spain,Female,4,2,1,1,0,31-40,0-50K,150K-200K
2259,15776631,Ma,466,France,Female,5,1,0,1,0,31-40,100K-150K,50K-100K
2260,15762216,Barrera,686,France,Female,4,2,1,0,0,41-50,100K-150K,150K-200K
2261,15623927,Alexander,576,France,Male,9,2,1,1,0,51-60,0-50K,50K-100K
2262,15681402,Ngozichukwuka,763,Germany,Female,1,1,1,1,0,60+,50K-100K,100K-150K
2263,15586264,Murray,572,France,Male,2,1,1,0,1,41-50,100K-150K,0-50K
2264,15594685,Hall,757,France,Female,2,2,0,0,0,41-50,0-50K,150K-200K
2265,15812945,Padovesi,582,France,Female,0,1,1,1,0,18-30,0-50K,50K-100K
2266,15734628,Lysaght,623,France,Female,5,2,1,0,0,31-40,0-50K,100K-150K
2267,15629323,Kelechi,617,Germany,Female,4,2,1,0,1,31-40,100K-150K,150K-200K
2268,15666823,Nebechi,425,France,Male,4,2,1,0,0,31-40,0-50K,150K-200K
2269,15777553,Hanson,659,France,Female,9,1,1,0,1,51-60,100K-150K,50K-100K
2270,15613097,Kao,605,France,Female,4,2,0,1,0,31-40,0-50K,50K-100K
2271,15622217,Tu,538,France,Female,8,2,0,0,1,31-40,50K-100K,0-50K
2272,15703588,Palerma,665,Germany,Male,5,2,1,0,0,18-30,150K-200K,0-50K
2273,15570835,Fallaci,491,Germany,Female,4,1,1,1,1,51-60,100K-150K,0-50K
2274,15679299,Shen,726,Spain,Female,7,1,0,1,0,18-30,100K-150K,50K-100K
2275,15808044,Ts'ui,580,France,Female,9,3,1,0,1,60+,100K-150K,100K-150K
2276,15579208,Chikezie,550,France,Female,6,2,1,1,0,41-50,0-50K,150K-200K
2277,15684951,He,542,France,Female,2,2,1,0,1,51-60,50K-100K,0-50K
2278,15667620,Dreyer,732,France,Female,6,2,1,0,0,41-50,0-50K,50K-100K
2279,15582960,Short,473,France,Female,5,1,0,1,0,31-40,100K-150K,100K-150K
2280,15590730,Hunt,745,Spain,Male,9,2,1,0,0,31-40,0-50K,50K-100K
2281,15763747,Ricci,732,France,Male,7,2,1,1,0,31-40,0-50K,50K-100K
2282,15778320,Teng,848,Germany,Female,5,1,0,0,0,31-40,100K-150K,150K-200K
2283,15642787,Ijendu,572,France,Male,1,1,0,0,0,31-40,100K-150K,100K-150K
2284,15624633,Kibby,702,France,Male,9,1,1,1,0,41-50,50K-100K,150K-200K
2285,15766765,Obiuto,664,Germany,Male,7,1,1,0,0,31-40,50K-100K,150K-200K
2286,15783615,Ramos,630,Germany,Male,3,4,1,1,1,41-50,100K-150K,0-50K
2287,15640161,Calabrese,618,Germany,Male,5,2,0,0,0,41-50,150K-200K,100K-150K
2288,15619889,Vasin,556,France,Male,4,1,1,0,0,18-30,0-50K,150K-200K
2289,15579166,Munro,619,France,Female,7,1,1,1,0,18-30,50K-100K,150K-200K
2290,15789097,Keeley,644,France,Male,8,2,0,1,1,41-50,0-50K,0-50K
2291,15674880,Archer,658,Spain,Male,2,2,1,0,0,41-50,0-50K,50K-100K
2292,15778157,Murray,598,Spain,Male,8,2,1,0,0,18-30,50K-100K,100K-150K
2293,15779064,Chidiegwu,677,France,Male,2,2,1,1,0,18-30,0-50K,0-50K
2294,15801265,Tang,689,Spain,Female,0,1,1,0,1,41-50,50K-100K,150K-200K
2295,15589204,Farrar,591,France,Male,9,1,1,0,0,31-40,100K-150K,100K-150K
2296,15664543,Shaw,699,France,Male,7,1,0,1,1,31-40,0-50K,150K-200K
2297,15582714,Napolitani,749,Germany,Male,9,1,0,1,1,41-50,100K-150K,100K-150K
2298,15797595,Greenhalgh,709,France,Female,9,1,1,1,0,31-40,100K-150K,100K-150K
2299,15614034,Martin,607,Germany,Male,2,2,1,1,0,60+,150K-200K,0-50K
2300,15763171,Hu,650,Germany,Female,2,1,1,1,0,18-30,100K-150K,0-50K
2301,15647266,Y?an,651,Spain,Female,10,1,1,0,0,41-50,100K-150K,0-50K
2302,15757577,Odili,676,France,Female,8,2,1,1,0,60+,0-50K,100K-150K
2303,15736656,H?,723,France,Female,4,2,0,1,0,41-50,0-50K,50K-100K
2304,15635078,Chiemela,714,Spain,Male,0,1,0,1,0,41-50,100K-150K,150K-200K
2305,15680141,Yuan,759,Spain,Female,7,1,1,1,0,31-40,100K-150K,100K-150K
2306,15576945,Clements,582,France,Male,0,1,1,0,0,18-30,0-50K,100K-150K
2307,15602034,Kolesnikov,697,France,Female,2,1,1,0,0,31-40,100K-150K,50K-100K
2308,15732020,Rutherford,610,Germany,Male,6,2,0,1,0,51-60,100K-150K,150K-200K
2309,15611029,Hsiung,488,Germany,Female,4,1,1,0,0,31-40,100K-150K,100K-150K
2310,15621210,Angelo,599,Germany,Male,9,1,1,1,1,41-50,100K-150K,0-50K
2311,15569222,Mendes,781,France,Male,6,1,1,1,0,31-40,100K-150K,0-50K
2312,15664639,McGregor,645,France,Male,9,1,0,0,0,18-30,100K-150K,150K-200K
2313,15724223,Bronner,545,France,Female,5,1,0,0,1,51-60,0-50K,0-50K
2314,15644621,Mironova,597,Germany,Female,9,2,1,0,0,31-40,100K-150K,150K-200K
2315,15756056,Ku,561,Spain,Female,3,2,1,0,0,18-30,0-50K,150K-200K
2316,15700353,Evans,662,France,Female,6,2,1,0,0,31-40,0-50K,50K-100K
2317,15624388,Henderson,649,Germany,Female,5,1,1,1,1,41-50,150K-200K,50K-100K
2318,15627212,Smith,630,France,Female,2,1,1,1,0,31-40,100K-150K,0-50K
2319,15648005,Russell,672,Spain,Male,2,2,1,1,0,31-40,0-50K,150K-200K
2320,15681446,Sun,636,Germany,Female,9,1,1,1,0,31-40,150K-200K,150K-200K
2321,15775888,McDonald,593,Germany,Female,5,1,1,1,0,31-40,50K-100K,100K-150K
2322,15749019,Wong,545,Germany,Male,6,2,1,1,0,41-50,50K-100K,150K-200K
2323,15709928,Niu,567,Spain,Female,1,2,1,0,0,41-50,0-50K,0-50K
2324,15784676,Fanucci,583,France,Male,6,2,1,0,0,51-60,100K-150K,150K-200K
2325,15748116,Zetticci,681,France,Female,2,1,1,1,0,18-30,100K-150K,50K-100K
2326,15612193,Hsia,762,Spain,Male,10,2,1,0,0,18-30,100K-150K,100K-150K
2327,15762984,McIntosh,648,Spain,Male,7,2,0,0,0,31-40,0-50K,100K-150K
2328,15613713,Kozlova,644,France,Male,5,1,1,1,0,18-30,0-50K,0-50K
2329,15664204,Meany,706,Spain,Male,2,2,1,1,0,18-30,0-50K,0-50K
2330,15639415,Thompson,850,France,Male,3,1,1,0,0,31-40,150K-200K,150K-200K
2331,15806332,Le Gallienne,484,Spain,Female,5,2,1,1,0,31-40,0-50K,150K-200K
2332,15614929,Cheng,508,Germany,Male,0,2,1,0,0,18-30,50K-100K,100K-150K
2333,15695492,P'eng,439,France,Female,6,1,1,0,0,18-30,150K-200K,150K-200K
2334,15635972,Lloyd,484,Spain,Male,8,2,1,0,0,31-40,0-50K,150K-200K
2335,15616380,Wheeler,803,Spain,Female,1,2,0,0,0,31-40,0-50K,0-50K
2336,15581440,Christie,724,Germany,Female,6,2,1,1,1,41-50,100K-150K,50K-100K
2337,15654390,He,640,France,Male,7,1,1,0,1,31-40,150K-200K,0-50K
2338,15660688,King,701,Spain,Female,9,2,0,0,0,31-40,0-50K,150K-200K
2339,15806307,Favors,537,France,Male,3,2,1,1,0,31-40,0-50K,0-50K
2340,15647975,Vida,651,Germany,Male,5,1,0,0,0,18-30,100K-150K,100K-150K
2341,15595728,Thomas,523,Germany,Male,0,1,0,0,1,41-50,100K-150K,100K-150K
2342,15735388,Wayn,717,France,Female,7,2,1,0,0,18-30,100K-150K,150K-200K
2343,15788535,Tan,593,Spain,Male,5,1,1,0,0,41-50,0-50K,100K-150K
2344,15765902,Gibson,706,Germany,Male,5,2,1,1,0,31-40,150K-200K,100K-150K
2345,15642345,Y?,714,Germany,Female,4,1,1,0,1,41-50,50K-100K,0-50K
2346,15641250,Calabresi,794,Spain,Male,9,1,1,0,0,31-40,150K-200K,0-50K
2347,15706163,Enyinnaya,518,Germany,Male,4,1,0,0,1,41-50,100K-150K,50K-100K
2348,15746708,Ritchie,589,Germany,Male,7,1,1,0,1,51-60,100K-150K,50K-100K
2349,15775203,Chia,824,France,Male,3,1,0,0,0,41-50,100K-150K,50K-100K
2350,15787907,Wang,719,Germany,Female,5,3,1,0,1,41-50,100K-150K,100K-150K
2351,15646764,Lorenzo,617,Germany,Female,3,2,1,0,1,51-60,100K-150K,0-50K
2352,15678284,Pai,651,France,Male,7,3,1,0,1,31-40,50K-100K,100K-150K
2353,15726791,Nuttall,637,Spain,Female,2,1,1,1,1,41-50,150K-200K,100K-150K
2354,15813144,Osborne,554,France,Female,7,2,1,0,0,18-30,50K-100K,150K-200K
2355,15669342,Ferri,731,Germany,Male,2,2,1,0,0,31-40,100K-150K,100K-150K
2356,15710366,Hamilton,569,Spain,Female,1,1,1,1,1,41-50,0-50K,50K-100K
2357,15614934,McEwan,625,Germany,Female,4,1,1,0,0,31-40,100K-150K,0-50K
2358,15588701,Lai,592,France,Female,4,2,1,0,0,31-40,0-50K,0-50K
2359,15665438,Hs?,669,France,Male,1,1,0,1,0,41-50,150K-200K,0-50K
2360,15644896,Thompson,663,Germany,Male,3,1,1,1,0,31-40,100K-150K,150K-200K
2361,15670205,Boyd,518,Germany,Female,5,1,1,0,0,41-50,100K-150K,50K-100K
2362,15635776,Trevisani,686,Germany,Female,5,2,1,1,0,41-50,150K-200K,150K-200K
2363,15791053,Lucciano,709,Germany,Male,4,1,1,1,1,41-50,100K-150K,0-50K
2364,15644005,Holman,571,France,Female,9,2,0,1,0,31-40,0-50K,50K-100K
2365,15796343,Bazhenov,707,France,Female,2,2,0,0,0,31-40,50K-100K,50K-100K
2366,15751057,Douglas,701,Germany,Male,5,1,0,0,0,31-40,100K-150K,100K-150K
2367,15623430,Hill,672,France,Male,9,2,1,0,0,31-40,0-50K,150K-200K
2368,15682600,Lo,620,Germany,Male,9,1,1,0,1,31-40,150K-200K,50K-100K
2369,15769312,Forbes,557,Spain,Male,10,2,1,1,0,41-50,0-50K,150K-200K
2370,15708212,Lin,648,Spain,Female,7,1,1,0,1,51-60,100K-150K,150K-200K
2371,15650258,Sinclair,479,France,Female,2,1,1,0,0,31-40,100K-150K,150K-200K
2372,15604345,Kemp,730,France,Female,9,1,1,1,0,18-30,50K-100K,100K-150K
2373,15578297,Ebelegbulam,737,Germany,Female,1,1,1,0,1,41-50,100K-150K,100K-150K
2374,15671789,Woods,616,France,Male,3,2,1,0,0,31-40,50K-100K,150K-200K
2375,15726186,Genovese,639,Spain,Male,4,2,1,0,0,18-30,100K-150K,50K-100K
2376,15764618,Tseng,815,Spain,Female,6,1,1,1,0,31-40,0-50K,50K-100K
2377,15730738,Chiang,786,Spain,Male,9,2,1,1,0,31-40,0-50K,0-50K
2378,15637650,Williams,549,France,Male,9,2,0,1,0,41-50,50K-100K,0-50K
2379,15606267,Wilson,622,France,Female,4,1,1,1,0,31-40,50K-100K,100K-150K
2380,15625904,Wang,624,France,Male,9,2,0,0,0,18-30,50K-100K,0-50K
2381,15654463,Moore,841,France,Male,4,2,1,0,0,31-40,0-50K,100K-150K
2382,15774151,Iadanza,614,Spain,Female,7,1,0,0,1,41-50,150K-200K,0-50K
2383,15693259,Wallace,676,France,Male,1,1,1,1,0,18-30,100K-150K,50K-100K
2384,15642468,Clark,697,France,Male,9,2,0,0,0,41-50,100K-150K,150K-200K
2385,15758531,Y?,732,France,Female,10,2,1,0,0,31-40,0-50K,150K-200K
2386,15728352,Yermakov,623,France,Male,4,1,0,0,0,18-30,100K-150K,100K-150K
2387,15637240,Wei,541,France,Male,4,2,1,0,0,41-50,100K-150K,50K-100K
2388,15595588,Chukwunonso,773,Spain,Female,4,2,0,1,0,31-40,0-50K,150K-200K
2389,15778395,McIntyre,762,Germany,Male,4,2,1,0,1,31-40,50K-100K,50K-100K
2390,15711825,Ts'ai,655,Spain,Female,1,2,1,0,0,31-40,50K-100K,50K-100K
2391,15599251,Chung,602,Germany,Male,7,2,1,0,0,31-40,150K-200K,100K-150K
2392,15570004,Tsou,850,France,Male,3,2,1,0,0,31-40,0-50K,100K-150K
2393,15656912,Aitken,649,Spain,Male,4,1,1,1,0,51-60,0-50K,150K-200K
2394,15657342,Dawson,850,Germany,Male,4,1,1,0,1,18-30,100K-150K,50K-100K
2395,15716284,Ward,543,France,Male,9,2,1,1,0,41-50,0-50K,50K-100K
2396,15672374,Pai,672,France,Male,8,1,0,0,1,51-60,150K-200K,50K-100K
2397,15732476,Ifeanyichukwu,600,France,Female,3,2,0,1,0,18-30,0-50K,100K-150K
2398,15747724,Briggs,671,Spain,Female,10,1,1,0,0,31-40,0-50K,0-50K
2399,15633877,Morrison,706,Spain,Female,8,1,1,1,0,41-50,50K-100K,50K-100K
2400,15672516,Wall,541,Germany,Male,7,2,1,0,0,51-60,50K-100K,150K-200K
2401,15607827,Nebechukwu,711,Germany,Male,4,2,1,1,0,31-40,100K-150K,0-50K
2402,15751336,Yao,630,Spain,Male,3,2,0,1,0,18-30,0-50K,0-50K
2403,15646539,Liao,531,France,Male,3,1,1,0,0,31-40,50K-100K,50K-100K
2404,15756901,Ch'ang,641,France,Female,4,2,0,1,0,18-30,50K-100K,0-50K
2405,15809286,Burke,631,Germany,Male,8,2,0,0,1,31-40,100K-150K,150K-200K
2406,15759021,Kay,685,France,Male,9,1,1,0,0,31-40,0-50K,150K-200K
2407,15725039,McIntyre,702,Spain,Male,8,1,1,1,0,31-40,50K-100K,100K-150K
2408,15579130,Chidiegwu,708,Germany,Female,0,1,1,0,1,41-50,100K-150K,150K-200K
2409,15754112,Musgrove,653,Spain,Male,7,2,1,1,0,51-60,0-50K,0-50K
2410,15735522,Boulger,654,Germany,Male,2,2,0,0,0,31-40,100K-150K,150K-200K
2411,15613326,Gow,596,France,Female,1,1,1,0,0,31-40,100K-150K,50K-100K
2412,15739502,Amaechi,549,Germany,Female,9,2,1,1,0,31-40,100K-150K,0-50K
2413,15670914,Robe,754,France,Male,2,2,1,0,0,31-40,0-50K,150K-200K
2414,15604073,Bibi,815,Germany,Female,8,1,1,1,0,18-30,100K-150K,100K-150K
2415,15806027,Niu,556,France,Female,9,1,1,0,1,51-60,0-50K,150K-200K
2416,15574886,Palerma,706,France,Male,6,1,1,1,0,31-40,50K-100K,100K-150K
2417,15707120,Cocci,850,France,Male,9,1,1,0,0,41-50,100K-150K,50K-100K
2418,15800845,Artemieva,732,Spain,Female,8,1,1,1,0,31-40,100K-150K,0-50K
2419,15603914,Arcuri,614,France,Male,6,1,1,1,1,31-40,0-50K,0-50K
2420,15722765,Owen,580,Spain,Female,0,1,0,1,0,51-60,100K-150K,100K-150K
2421,15783305,Franklin,593,France,Female,7,1,1,0,0,41-50,50K-100K,100K-150K
2422,15574842,Lorenzo,653,Germany,Female,2,3,1,1,0,18-30,150K-200K,150K-200K
2423,15607837,Muriel,746,France,Female,4,1,1,1,0,18-30,100K-150K,0-50K
2424,15714877,MacDevitt,662,France,Female,10,2,1,0,0,18-30,0-50K,100K-150K
2425,15782941,Chijindum,573,France,Male,2,2,1,1,0,31-40,0-50K,50K-100K
2426,15630167,Gibson,684,Spain,Female,4,1,1,1,0,31-40,100K-150K,100K-150K
2427,15759038,Whitehead,793,France,Female,3,1,1,0,0,41-50,100K-150K,100K-150K
2428,15661821,Johnstone,798,Germany,Female,5,1,1,1,1,41-50,100K-150K,0-50K
2429,15728006,Endrizzi,524,France,Male,2,1,1,0,0,31-40,150K-200K,150K-200K
2430,15712176,Burke,816,France,Male,8,2,1,1,0,31-40,0-50K,0-50K
2431,15689351,Johnson,742,Germany,Female,4,1,0,1,1,41-50,50K-100K,50K-100K
2432,15782247,Yeh,540,France,Male,4,3,1,1,1,18-30,0-50K,150K-200K
2433,15769064,Marshall,537,Germany,Male,3,1,1,0,1,31-40,100K-150K,0-50K
2434,15718153,Kao,759,Spain,Female,6,1,1,1,0,60+,100K-150K,0-50K
2435,15613189,Browne,774,France,Female,2,1,1,0,1,51-60,50K-100K,100K-150K
2436,15661734,Taylor,608,Germany,Male,8,2,1,0,0,41-50,100K-150K,50K-100K
2437,15592645,Gibbons,704,Spain,Male,4,2,0,0,0,31-40,0-50K,0-50K
2438,15768387,Nott,581,France,Male,8,2,0,0,0,41-50,0-50K,0-50K
2439,15792525,Lei,628,Germany,Female,1,1,1,1,1,60+,50K-100K,100K-150K
2440,15586976,Alexeeva,566,France,Female,6,1,1,0,1,41-50,0-50K,150K-200K
2441,15790659,Sheets,701,Spain,Male,7,2,0,1,0,51-60,0-50K,0-50K
2442,15691446,Tokaryev,735,Spain,Male,10,2,1,1,0,18-30,0-50K,50K-100K
2443,15772632,Ts'ui,680,France,Female,1,2,1,0,0,31-40,0-50K,150K-200K
2444,15706587,Johnston,560,France,Male,0,2,0,1,0,51-60,0-50K,100K-150K
2445,15572461,Kung,663,Germany,Female,4,2,0,0,0,18-30,100K-150K,0-50K
2446,15654409,Unwin,665,France,Female,5,1,1,1,0,31-40,50K-100K,0-50K
2447,15568025,Hsueh,758,France,Male,8,1,1,1,0,51-60,50K-100K,100K-150K
2448,15715769,Hao,621,France,Male,2,1,0,1,0,18-30,50K-100K,0-50K
2449,15667458,L?,764,Germany,Male,10,1,1,0,0,18-30,100K-150K,150K-200K
2450,15567980,Frater,537,Germany,Female,5,1,0,1,1,41-50,100K-150K,100K-150K
2451,15679294,Brennan,589,France,Female,10,2,1,0,0,41-50,100K-150K,0-50K
2452,15606507,Pisani,555,France,Male,5,2,1,0,0,18-30,0-50K,0-50K
2453,15578825,Golubev,734,France,Female,0,1,1,0,0,18-30,100K-150K,0-50K
2454,15619935,Vanmeter,783,Spain,Female,9,1,1,1,0,51-60,100K-150K,0-50K
2455,15636089,Hs?,678,Germany,Female,1,1,0,0,1,51-60,100K-150K,100K-150K
2456,15727490,Scott,661,France,Male,5,1,0,1,1,41-50,0-50K,100K-150K
2457,15591766,Crawford,607,Spain,Female,4,1,0,1,0,18-30,100K-150K,100K-150K
2458,15641629,P'eng,537,Spain,Female,1,2,0,1,0,31-40,0-50K,0-50K
2459,15813303,Rearick,513,Spain,Male,10,2,1,1,0,60+,0-50K,50K-100K
2460,15756920,Genovesi,576,France,Male,9,1,0,0,1,60+,50K-100K,50K-100K
2461,15726403,Glenny,660,Germany,Male,1,1,1,0,1,41-50,100K-150K,0-50K
2462,15592765,Marks,637,France,Male,8,1,1,1,0,31-40,100K-150K,150K-200K
2463,15704442,Fleming,672,France,Female,9,4,1,1,1,51-60,150K-200K,100K-150K
2464,15641136,Davison,629,France,Male,2,2,0,1,0,31-40,0-50K,50K-100K
2465,15725818,Chibuzo,583,Germany,Male,4,1,1,1,0,31-40,100K-150K,0-50K
2466,15612071,Wilson,763,Spain,Female,10,1,0,1,0,31-40,50K-100K,50K-100K
2467,15719809,Endrizzi,516,Germany,Male,3,2,0,0,0,31-40,100K-150K,100K-150K
2468,15716518,Yuryeva,617,France,Female,4,2,0,0,0,18-30,0-50K,150K-200K
2469,15742210,Ugochukwu,700,France,Male,9,1,1,1,0,31-40,50K-100K,100K-150K
2470,15630617,Lo Duca,727,Germany,Male,6,1,1,1,1,31-40,100K-150K,100K-150K
2471,15720838,Gallo,689,Spain,Female,3,1,0,1,0,31-40,100K-150K,100K-150K
2472,15595537,Trout,626,Germany,Male,9,2,1,0,0,41-50,150K-200K,150K-200K
2473,15623196,Morley,686,France,Male,6,1,1,1,0,31-40,100K-150K,50K-100K
2474,15679249,Chou,351,Germany,Female,4,1,1,0,1,51-60,150K-200K,150K-200K
2475,15693199,Shao,739,France,Female,8,2,1,0,1,31-40,0-50K,150K-200K
2476,15661219,Trentino,627,France,Male,10,2,1,0,0,31-40,0-50K,100K-150K
2477,15617136,Mazzanti,451,Germany,Female,9,1,1,1,0,31-40,50K-100K,150K-200K
2478,15760294,Endrizzi,512,France,Female,8,1,1,0,1,41-50,100K-150K,50K-100K
2479,15652808,Monaldo,774,France,Female,5,1,1,0,0,41-50,100K-150K,100K-150K
2480,15657139,Otutodilinna,652,France,Female,8,2,0,1,0,31-40,50K-100K,100K-150K
2481,15803790,Allen,638,Germany,Male,2,2,1,1,0,31-40,50K-100K,0-50K
2482,15764105,Milne,475,France,Female,1,2,1,0,0,51-60,0-50K,50K-100K
2483,15672610,Somadina,567,Spain,Male,4,1,0,0,0,31-40,100K-150K,50K-100K
2484,15766896,Chieloka,750,France,Male,3,2,1,0,0,31-40,0-50K,0-50K
2485,15587735,Chukwuebuka,850,France,Male,6,1,1,1,0,31-40,50K-100K,100K-150K
2486,15659501,Chioke,753,France,Female,6,1,0,1,0,31-40,100K-150K,0-50K
2487,15745001,Kovalev,683,Spain,Female,7,2,1,0,0,31-40,0-50K,100K-150K
2488,15651140,Doherty,710,France,Female,3,1,1,0,0,31-40,0-50K,50K-100K
2489,15571148,Baranov,645,Spain,Female,1,2,0,0,0,18-30,0-50K,0-50K
2490,15776824,Rossi,714,France,Male,6,1,1,1,0,18-30,100K-150K,50K-100K
2491,15633141,Robinson,696,Germany,Female,4,1,1,0,0,31-40,150K-200K,50K-100K
2492,15764174,Bidencope,612,Spain,Female,4,2,1,1,0,18-30,0-50K,150K-200K
2493,15778155,T'ien,520,Germany,Female,3,1,1,1,1,31-40,100K-150K,150K-200K
2494,15715920,De Bernales,782,Spain,Male,10,1,1,1,0,18-30,50K-100K,100K-150K
2495,15671917,Wade,666,France,Male,5,1,1,1,0,41-50,100K-150K,150K-200K
2496,15666548,Chung,466,Germany,Female,2,3,1,0,1,51-60,100K-150K,150K-200K
2497,15625623,Stevenson,567,France,Female,4,2,0,1,0,41-50,0-50K,100K-150K
2498,15748123,Chienezie,613,France,Male,3,2,1,1,0,18-30,0-50K,100K-150K
2499,15648735,Cashin,718,France,Male,8,2,1,1,0,31-40,0-50K,0-50K
2500,15634974,Seppelt,614,France,Female,8,4,0,1,1,31-40,50K-100K,100K-150K
2501,15713378,Brownless,711,France,Male,10,2,0,0,0,31-40,0-50K,50K-100K
2502,15753370,McDonald,691,Germany,Female,5,1,1,0,0,31-40,100K-150K,100K-150K
2503,15782659,Mamelu,527,France,Male,0,1,1,0,0,31-40,0-50K,100K-150K
2504,15583364,McGregor,476,France,Female,6,1,0,0,0,31-40,100K-150K,100K-150K
2505,15625942,McDonald,619,Spain,Female,0,2,0,0,0,41-50,0-50K,100K-150K
2506,15720284,Crawford,607,Germany,Female,4,1,0,0,0,31-40,100K-150K,150K-200K
2507,15679642,Feng,695,Spain,Male,8,2,1,1,0,41-50,0-50K,50K-100K
2508,15628007,Genovese,653,France,Male,1,2,0,0,0,31-40,0-50K,50K-100K
2509,15661974,Pirozzi,677,France,Male,2,1,1,1,0,41-50,50K-100K,150K-200K
2510,15689341,Gibbs,655,France,Female,10,4,1,0,1,41-50,0-50K,150K-200K
2511,15607993,Milne,625,France,Female,2,1,1,1,0,51-60,50K-100K,50K-100K
2512,15693267,Dickson,679,Germany,Female,7,1,1,0,0,31-40,100K-150K,50K-100K
2513,15769522,O'Connor,734,France,Male,1,1,1,1,0,51-60,100K-150K,100K-150K
2514,15755825,McGuirk,666,France,Male,10,2,1,0,0,31-40,0-50K,100K-150K
2515,15598175,Toscani,592,Germany,Female,4,2,1,0,0,18-30,100K-150K,100K-150K
2516,15744327,Ruth,564,France,Male,4,1,1,0,1,31-40,0-50K,50K-100K
2517,15798666,Hughes,814,France,Female,6,2,1,1,0,31-40,0-50K,50K-100K
2518,15577064,Onyekaozulu,592,Germany,Male,2,2,1,0,0,31-40,100K-150K,100K-150K
2519,15759436,Aksenov,758,France,Female,2,3,1,1,1,41-50,50K-100K,50K-100K
2520,15690231,K'ung,612,Spain,Female,0,2,1,1,0,60+,150K-200K,150K-200K
2521,15751561,Meng,498,Germany,Male,7,1,1,0,1,60+,100K-150K,150K-200K
2522,15739068,Nwoye,638,Germany,Male,4,2,1,1,0,18-30,100K-150K,100K-150K
2523,15758056,Calabresi,558,France,Male,1,2,0,0,0,31-40,0-50K,100K-150K
2524,15742269,Milano,756,France,Female,1,2,1,0,0,18-30,0-50K,150K-200K
2525,15726490,Kirby,782,Spain,Male,4,1,1,1,1,51-60,0-50K,50K-100K
2526,15738411,Ho,505,France,Male,10,1,0,1,0,31-40,100K-150K,100K-150K
2527,15727919,Chukwuemeka,671,Spain,Female,6,2,0,0,0,18-30,0-50K,0-50K
2528,15709396,Hale,801,France,Male,6,2,1,1,0,41-50,0-50K,50K-100K
2529,15654106,K?,604,France,Male,8,2,0,1,0,18-30,100K-150K,150K-200K
2530,15621653,Rice,716,France,Female,10,1,1,1,0,18-30,50K-100K,150K-200K
2531,15598086,Brown,624,France,Female,3,1,1,0,1,41-50,50K-100K,150K-200K
2532,15752300,Sagese,607,Germany,Male,4,1,1,1,0,41-50,100K-150K,50K-100K
2533,15658693,Aksyonova,827,France,Female,2,2,0,1,0,51-60,0-50K,50K-100K
2534,15631838,Findlay,606,France,Male,5,2,0,1,0,60+,100K-150K,0-50K
2535,15803804,Walker,717,Germany,Female,5,1,1,0,0,31-40,100K-150K,150K-200K
2536,15578809,Hao,651,Germany,Male,1,2,0,0,1,31-40,100K-150K,150K-200K
2537,15752026,Hammer,691,France,Male,3,1,0,1,1,51-60,0-50K,150K-200K
2538,15723706,Abbott,573,France,Female,0,1,1,0,0,31-40,50K-100K,100K-150K
2539,15752838,Lucas,723,Spain,Male,6,2,1,1,0,31-40,0-50K,50K-100K
2540,15569571,Davydova,584,Germany,Female,6,2,1,0,1,41-50,50K-100K,100K-150K
2541,15769703,West,550,Germany,Female,8,1,0,0,1,41-50,100K-150K,50K-100K
2542,15679770,Smith,611,France,Female,3,4,0,1,1,60+,100K-150K,50K-100K
2543,15791102,Mai,549,Germany,Male,9,3,1,1,1,41-50,50K-100K,100K-150K
2544,15655192,Fiorentino,850,Spain,Female,1,2,0,1,0,18-30,0-50K,50K-100K
2545,15709487,Freeman,668,Germany,Male,5,2,0,0,0,31-40,50K-100K,50K-100K
